DeckType	Front	Back	Infinitief	Imperfectum	Perfectum	English
irregular-verbs	binden	Imperfectum: bond, bonden | Perfectum: gebonden | English: to tie	binden	bond, bonden	gebonden	to tie
irregular-verbs	blazen	Imperfectum: blies, bliezen | Perfectum: geblazen | English: to blow	blazen	blies, bliezen	geblazen	to blow
irregular-verbs	blijken	Imperfectum: bleek, bleken | Perfectum: is gebleken | English: to appear	blijken	bleek, bleken	is gebleken	to appear
irregular-verbs	blijven	Imperfectum: bleef, bleven | Perfectum: is gebleven | English: to stay, to remain	blijven	bleef, bleven	is gebleven	to stay, to remain
irregular-verbs	blinken	Imperfectum: blonk, blonken | Perfectum: geblonken | English: to shine	blinken	blonk, blonken	geblonken	to shine
irregular-verbs	braden	Imperfectum: braadde, braadden | Perfectum: gebraden | English: to roast	braden	braadde, braadden	gebraden	to roast
irregular-verbs	breken	Imperfectum: brak, braken | Perfectum: gebroken | English: to break	breken	brak, braken	gebroken	to break
irregular-verbs	brengen	Imperfectum: bracht, brachten | Perfectum: gebracht | English: to bring	brengen	bracht, brachten	gebracht	to bring
irregular-verbs	buigen	Imperfectum: boog, bogen | Perfectum: gebogen | English: to bend	buigen	boog, bogen	gebogen	to bend
irregular-verbs	denken	Imperfectum: dacht, dachten | Perfectum: gedacht | English: to think	denken	dacht, dachten	gedacht	to think
irregular-verbs	doen	Imperfectum: deed, deden | Perfectum: gedaan | English: to do	doen	deed, deden	gedaan	to do
irregular-verbs	dragen	Imperfectum: droeg, droegen | Perfectum: gedragen | English: to carry, to wear	dragen	droeg, droegen	gedragen	to carry, to wear
irregular-verbs	drijven	Imperfectum: dreef, dreven | Perfectum: (is) gedreven | English: to float	drijven	dreef, dreven	(is) gedreven	to float
irregular-verbs	dringen	Imperfectum: drong, drongen | Perfectum: gedrongen | English: to push, to press	dringen	drong, drongen	gedrongen	to push, to press
irregular-verbs	drinken	Imperfectum: dronk, dronken | Perfectum: gedronken | English: to drink	drinken	dronk, dronken	gedronken	to drink
irregular-verbs	druipen	Imperfectum: droop, dropen | Perfectum: (is) gedropen | English: to drip	druipen	droop, dropen	(is) gedropen	to drip
irregular-verbs	duiken	Imperfectum: dook, doken | Perfectum: (is) gedoken | English: to dive	duiken	dook, doken	(is) gedoken	to dive
irregular-verbs	dwingen	Imperfectum: dwong, dwongen | Perfectum: gedwongen | English: to force	dwingen	dwong, dwongen	gedwongen	to force
irregular-verbs	ervaren	Imperfectum: ervoer, ervoeren | Perfectum: ervaren | English: to experience	ervaren	ervoer, ervoeren	ervaren	to experience
irregular-verbs	eten	Imperfectum: at, aten | Perfectum: gegeten | English: to eat	eten	at, aten	gegeten	to eat
irregular-verbs	fluiten	Imperfectum: floot, floten | Perfectum: gefloten | English: to whistle	fluiten	floot, floten	gefloten	to whistle
irregular-verbs	gaan	Imperfectum: ging, gingen | Perfectum: is gegaan | English: to go	gaan	ging, gingen	is gegaan	to go
irregular-verbs	gedragen	Imperfectum: gedroeg, gedroegen | Perfectum: gedragen | English: to behave	gedragen	gedroeg, gedroegen	gedragen	to behave
irregular-verbs	gelden	Imperfectum: gold, golden | Perfectum: gegolden | English: to hold, to be valid	gelden	gold, golden	gegolden	to hold, to be valid
irregular-verbs	genezen	Imperfectum: genas, genazen | Perfectum: genezen | English: to cure, to heal	genezen	genas, genazen	genezen	to cure, to heal
